,product_id,product_name,seo_name,desc_short,desc_long,color,item_no,master_model,parent,cat_id_fk,list,cost,price,ws_price,ex_price,weight_lbs,shipable,size,size_ln,size_wt,size_ht,inv_stocked,inv_eastorange,inv_orange,inv_processing,inv_ordered,inv_ordered_expect,img_small,img_large,supplier,ext_domain,featured,enabled,creation,modified,inv_mod,mod_by,product_assoc,alt_length,alt_width,alt_height,ship_length,ship_width,ship_height,nominal_length,nominal_width,nominal_height,product_relatives,meta_title,meta_keywords,add_keywords,meta_description,display_size_2,free_shipping,special_shipping,amount_per_box,class
442,460,Winged Fence Slats Inserts,winged-fence-slats-inserts-6ft-h-for-2in-mesh-slat-width-1-7/16in-green,,,Green,PVTW6GR,0.0,AFCFSW6,,53.95,38.0,57.0,0.0,0.0,17.0,1,6ft H for 2in Mesh,,2,72,-51.0,25,-76,,0.0,,,,,,0.0,0.0,2010-03-29 08:00:23,2010-03-29 08:00:23,2012-08-10,,,,,,12,12,74,,,,,,,,,Slat width 1 7/16in,0.0,1.0,4.0,AFCSLT
443,461,Winged Fence Slats Inserts,winged-fence-slats-inserts-6ft-h-for-2in-mesh-slat-width-1-7/16in-brown,,,Brown,PVTW6BR,0.0,AFCFSW6,,53.95,38.0,57.0,0.0,0.0,17.0,1,6ft H for 2in Mesh,,2,72,40.0,84,-44,,0.0,,,,,,0.0,1.0,2010-03-29 08:01:48,2010-03-29 08:01:48,2012-08-10,,,,,,12,12,74,,,,,,,,,Slat width 1 7/16in,0.0,1.0,4.0,AFCSLT
444,462,Winged Fence Slats Inserts,winged-fence-slats-inserts-6ft-h-for-2in-mesh-slat-width-1-7/16in-tan,,,Tan,PVTW6TN,0.0,AFCFSW6,,53.95,38.0,57.0,0.0,0.0,17.0,1,6ft H for 2in Mesh,,2,72,56.0,35,21,,0.0,,,,,,0.0,1.0,2010-03-29 08:03:40,2010-03-29 08:03:40,2012-08-10,,,,,,12,12,74,,,,,,,,,Slat width 1 7/16in,0.0,1.0,4.0,AFCSLT
445,463,Winged Fence Slats Inserts,winged-fence-slats-inserts-6ft-h-for-2in-mesh-slat-width-1-7/16in-redwood,,,Redwood,PVTW6RW,0.0,AFCFSW6,,53.95,38.0,57.0,0.0,0.0,17.0,1,6ft H for 2in Mesh,,2,,-2.0,0,-2,,0.0,,,,,,0.0,0.0,2010-03-29 08:04:24,2010-03-29 08:04:24,2012-08-10,,,,,,12,12,74,,,,,,,,,Slat width 1 7/16in,0.0,1.0,4.0,AFCSLT
446,464,Winged Fence Slats Inserts,winged-fence-slats-inserts-6ft-h-for-2in-mesh-slat-width-1-7/16in-gray,,,Gray,PVTW6G,0.0,AFCFSW6,,53.95,38.0,57.0,0.0,0.0,17.0,1,6ft H for 2in Mesh,,2,,-34.0,0,-34,,0.0,,,,,,0.0,0.0,2010-03-29 08:05:07,2010-03-29 08:05:07,2012-08-10,,,,,,12,12,74,,,,,,,,,Slat width 1 7/16in,0.0,1.0,4.0,AFCSLT
447,465,Winged Fence Slats Inserts,winged-fence-slats-inserts-6ft-h-for-2in-mesh-slat-width-1-7/16in-black,,,Black,PVTW6BK,0.0,AFCFSW6,,53.95,38.0,57.0,0.0,0.0,17.0,1,6ft H for 2in Mesh,,2,72,64.0,50,14,,0.0,,,,,,0.0,1.0,2010-03-29 08:05:45,2010-03-29 08:05:45,2012-08-10,,,,,,12,12,74,,,,,,,,,Slat width 1 7/16in,0.0,1.0,4.0,AFCSLT
448,466,Winged Fence Slats Inserts,winged-fence-slats-inserts-6ft-h-for-2in-mesh-slat-width-1-7/16in-light-blue,,,Light Blue,PVTW6LB,0.0,AFCFSW6,,53.95,38.0,57.0,0.0,0.0,17.0,1,6ft H for 2in Mesh,,2,72,0.0,0,0,,0.0,,,,,,0.0,1.0,2010-03-29 08:06:29,2010-03-29 08:06:29,0000-00-00,,,,,,12,12,74,,,,,,,,,Slat width 1 7/16in,0.0,1.0,4.0,AFCSLT
449,467,Winged Fence Slats Inserts,winged-fence-slats-inserts-7ft-h-for-2in-mesh-slat-width-1-7/16in-green,,,Green,PVTW7GR,0.0,AFCFSW7,,64.49,51.75,78.0,0.0,0.0,18.0,1,7ft H for 2in Mesh,,2,84,1.0,0,1,,0.0,,,,,,0.0,1.0,2010-03-29 08:07:42,2010-03-29 08:07:42,2012-06-28,,,,,,12,12,86,,,,,,,,,Slat width 1 7/16in,0.0,1.0,4.0,AFCSLT
450,468,Winged Fence Slats Inserts,winged-fence-slats-inserts-7ft-h-for-2in-mesh-slat-width-1-7/16in-brown,,,Brown,PVTW7BR,0.0,AFCFSW7,,64.49,51.75,78.0,0.0,0.0,18.0,1,7ft H for 2in Mesh,,2,84,0.0,0,0,,0.0,,,,,,0.0,1.0,2010-03-29 08:08:23,2010-03-29 08:08:23,0000-00-00,,,,,,12,12,86,,,,,,,,,Slat width 1 7/16in,0.0,1.0,4.0,AFCSLT
451,469,Winged Fence Slats Inserts,winged-fence-slats-inserts-7ft-h-for-2in-mesh-slat-width-1-7/16in-tan,,,Tan,PVTW7TN,0.0,AFCFSW7,,64.49,51.75,78.0,0.0,0.0,18.0,1,7ft H for 2in Mesh,,2,84,0.0,0,0,,0.0,,,,,,0.0,1.0,2010-03-29 08:09:02,2010-03-29 08:09:02,0000-00-00,,,,,,12,12,86,,,,,,,,,Slat width 1 7/16in,0.0,1.0,4.0,AFCSLT
452,470,Winged Fence Slats Inserts,winged-fence-slats-inserts-7ft-h-for-2in-mesh-slat-width-1-7/16in-redwood,,,Redwood,PVTW7RW,0.0,AFCFSW7,,64.49,51.75,78.0,0.0,0.0,18.0,1,7ft H for 2in Mesh,,2,,0.0,0,0,,0.0,,,,,,0.0,1.0,2010-03-29 08:09:53,2010-03-29 08:09:53,0000-00-00,,,,,,12,12,86,,,,,,,,,Slat width 1 7/16in,0.0,1.0,4.0,AFCSLT
453,471,Winged Fence Slats Inserts,winged-fence-slats-inserts-7ft-h-for-2in-mesh-slat-width-1-7/16in-gray,,,Gray,PVTW7G,0.0,AFCFSW7,,64.49,51.75,78.0,0.0,0.0,18.0,1,7ft H for 2in Mesh,,2,84,0.0,0,0,,0.0,,,,,,0.0,1.0,2010-03-29 08:10:42,2010-03-29 08:10:42,0000-00-00,,,,,,12,12,86,,,,,,,,,Slat width 1 7/16in,0.0,1.0,4.0,AFCSLT
454,472,Winged Fence Slats Inserts,winged-fence-slats-inserts-7ft-h-for-2in-mesh-slat-width-1-7/16in-black,,,Black,PVTW7BK,0.0,AFCFSW7,,64.49,51.75,78.0,0.0,0.0,18.0,1,7ft H for 2in Mesh,,2,84,-70.0,0,-70,,0.0,,,,,,0.0,0.0,2010-03-29 08:11:36,2010-03-29 08:11:36,2012-06-28,,,,,,12,12,86,,,,,,,,,Slat width 1 7/16in,0.0,1.0,4.0,AFCSLT
