original_product_id,product_details_id,product_id,size1,size2,size3,style,speciality,material,spacing,color,coating,family_category_id
43776,NULL,NULL,NULL,NULL,,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,NULL,High Quality Vinyl PVC,2
43777,NULL,NULL,48 in. x 50 ft.,1 in. x 3 in.,12.5 Gauge,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,Black,High Quality Vinyl PVC,2
43778,NULL,NULL,72 in. x 50 ft.,1 in. x 3 in.,12.5 Gauge,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,Black,High Quality Vinyl PVC,2
43779,NULL,NULL,60 in. x 50 ft.,1 in. x 2 in.,14 Gauge,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,Black,High Quality Vinyl PVC,2
43780,NULL,NULL,72 in. x 50 ft.,1 1/2 in. x 4 in.,12.5 Gauge,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,Black,High Quality Vinyl PVC,2
43782,NULL,NULL,48 in. x 100 ft.,3 in. x 3 in.,12.5 Gauge,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,Black,High Quality Vinyl PVC,2
43783,NULL,NULL,72 in. x 100 ft.,3 in. x 3 in.,12.5  Gauge,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,Black,High Quality Vinyl PVC,2
43784,NULL,NULL,72 in. x 50 ft.,2 in. x 4 in.,12.5 Gauge,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,Black,High Quality Vinyl PVC,2
43785,NULL,NULL,48 in. x 50 ft.,1 1/2 in. x 4 in.,12.5 Gauge,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,Black,High Quality Vinyl PVC,2
43786,NULL,NULL,48 in. x 100 ft.,1 1/2 in. x 4 in.,14 Gauge,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,Black,High Quality Vinyl PVC,2
43856,NULL,NULL,48 in. x 50 ft.,3 in. x 3 in.,11 Gauge,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,Black,High Quality Vinyl PVC,2
43858,NULL,NULL,48 in. x 50 ft.,2 in. x 2 in.,11 Gauge,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,Black,High Quality Vinyl PVC,2
43869,NULL,NULL,60 in. x 50 ft.,1 1/2 in. x 4 in.,12.5 Gauge,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,Black,High Quality Vinyl PVC,2
43870,NULL,NULL,72 in. x 50 ft.,4 in. x 4 in.,11 Gauge,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,Black,High Quality Vinyl PVC,2
43877,NULL,NULL,72 in. x 50 ft.,2 in. x 2 in.,14 Gauge,NULL,NULL,Hot Dipped Galvanized Before Welding (GBW) Steel Core,NULL,Black,High Quality Vinyl PVC,2
