product_details_id,original_product_id,family_category_id,product_id,size1,size2,size3,style,specialty,material,spacing,color,coating
NULL,2398,17,NULL,4 1/2 ft. H x 8 ft. W,NULL,NULL,Straight on Top,Knob Top,100% Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2399,17,NULL,5 ft. H x 8 ft. W,NULL,NULL,Straight on Top,Knob Top,100% Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2400,17,NULL,6 ft. H x 8 ft. W,NULL,NULL,Straight on Top,Knob Top,100% Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2401,17,NULL,7 ft. H x 8 ft. W,NULL,NULL,Straight on Top,Knob Top,100% Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2402,17,NULL,8 ft. H x 8 ft. W,NULL,NULL,Straight on Top,Knob Top,100% Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2403,17,NULL,3 ft. H x 8 ft. W,NULL,NULL,Concave,Knob Top,100% Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2404,17,NULL,3 1/2 ft. H x 8 ft. W,NULL,NULL,Concave,Knob Top,100% Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2405,17,NULL,4 ft. H x 8 ft. W,NULL,NULL,Concave,Knob Top,100% Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2406,17,NULL,4 1/2 ft. H x 8 ft. W,NULL,NULL,Concave,Knob Top,100% Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2407,17,NULL,5 ft. H x 8 ft. W,NULL,NULL,Concave,Knob Top,100% Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2408,17,NULL,6 ft. H x 8 ft. W,NULL,NULL,Concave,Knob Top,100% Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2409,17,NULL,7 ft. H x 8 ft. W,NULL,NULL,Concave,Knob Top,100% Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2410,17,NULL,8 ft. H x 8 ft. W,NULL,NULL,Concave,Knob Top,100% Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2411,17,NULL,3 ft. H x 8 ft. W,NULL,NULL,Convex,Knob Top,100% Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2412,17,NULL,3 1/2 ft. H x 8 ft. W,NULL,NULL,Convex,Knob Top,100% Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2413,17,NULL,4 ft. H x 8 ft. W,NULL,NULL,Convex,Knob Top,100% Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2414,17,NULL,4 1/2 ft. H x 8 ft. W,NULL,NULL,Convex,Knob Top,100% Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2415,17,NULL,5 ft. H x 8 ft. W,NULL,NULL,Convex,Knob Top,100% Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2416,17,NULL,6 ft. H x 8 ft. W,NULL,NULL,Convex,Knob Top,100% Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2417,17,NULL,7 ft. H x 8 ft. W,NULL,NULL,Convex,Knob Top,100% Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2418,17,NULL,8 ft. H x 8 ft. W,NULL,NULL,Convex,Knob Top,100% Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2420,17,NULL,3 ft. H x 8 ft. W,NULL,NULL,Straight on Top,French Gothic,100% Cedar Wood,2 1/2 in.,Cedar Wood,NULL
